// From https://rebrickable.com/colors
9,Light Blue,#B4D2E3,53,28,1995,2016,45:Light blue,9,62,LtBlue,63
64,Chrome Black,#1B2A34,4,2,2009,2016,,64,122,ChromeBlack,111
135,Pearl Light Gray,#9CA3A8,4154,658,2001,2016,"179:Silver flip/flop,",135,66,PearlLtGray,122
,,,,,,,"298:Cool silver,",,,,
,,,,,,,179:SILVER,,,,
0,Black,#05131D,1063049,12704,1957,2017,"26:Black,",0,11,Black,38
,,,,,,,"149:Metallic Black,",,,,
,,,,,,,"26:BLACK,",,,,
,,,,,,,"149:MET.BLACK,",,,,
,,,,,,,1012:CONDUCT. BLACK,,,,
71,Light Bluish Gray,#A0A5A9,633890,7937,1980,2017,"194:Medium stone grey,",71,86,MdStone,64
,,,,,,,194:MED. ST-GREY,,,,
61,Chrome Blue,#6C96BF,44,17,1998,2006,,61,52,ChromeBlue,112
212,Bright Light Blue,#9FC3E9,762,173,2003,2017,"212:Light Royal blue,",212,105,"LtRoyalBlue, BtLtBlue",42
,,,,,,,212:LGH. ROY. BLUE,,,,
272,Dark Blue,#0A3463,22683,1204,2001,2017,140:Earth blue,272,63,NavyBlue,48
1,Blue,#0055BF,288641,7814,1950,2017,"23:Bright Blue,",1,7,Blue,39
,,,,,,,"185:Metallic Bright Blue,",,,,
,,,,,,,"23:BR.BLUE,",,,,
,,,,,,,185:MET. BR. BLUE,,,,
73,Medium Blue,#5A93DB,13461,821,1950,2017,"102:Medium blue,",73,42,MdBlue,14
,,,,,,,102:MD.BLUE,,,,
137,Metal Blue,#7988A1,106,15,2002,2005,"145:Sand blue metallic,",137,78,PearlBlue,118
,,,,,,,"137:Metal Blue,",,,,
,,,,,,,137:MET.SAND.BLU,,,,
379,Sand Blue,#6074A1,2922,292,2001,2017,135:Sand blue,379,55,SandBlue,85
80,Metallic Silver,#A5A9B4,5231,909,1957,2017,"1002:C.SILVER, DR. L,",80,67,MetallicSilver,126
,,,,,,,"1003:SILVER INK,",,,,
,,,,,,,1015:C.SILVER,,,,
110,Violet,#4354A3,159,32,1999,2015,"110:Bright Bluish Violet,",110,43,Violet,15
,,,,,,,"110:BR.BLUEVIOL,",,,,
,,,,,,,1009:LILAC,,,,
89,Royal Blue,#4C61DB,1912,419,1956,2014,195:R. BLUE,89,,,
23,Dark Blue-Violet,#2032B0,4,3,2005,2006,"196:Dark Royal blue,",23,109,DkRoyalBlue,49
,,,,,,,196:DK. R.BLUE,,,,
112,Blue-Violet,#6874CA,198,17,2004,2005,"112:Medium Bluish Violet,",112,97,RoyalBlue,40
,,,,,,,112:ML.BLUEVIOL,,,,
20,Light Violet,#C9CAE2,96,27,1994,2005,"39:Light bluish violet,",20,44,LtViolet,16
,,,,,,,39:L.BLUEVIOL,,,,
1001,Medium Violet,#9391E4,1,1,1999,1999,,,73,MdViolet,78
85,Dark Purple,#3F3691,5762,588,2004,2017,"268:Medium Lilac,",85,89,MdLilac,55
,,,,,,,268:M. LILAC,,,,
31,Lavender,#E1D5ED,804,127,2011,2017,325:Lavender,31,154,Lavender,36
30,Medium Lavender,#AC78BA,2406,255,2005,2017,"324:Medium Lavender,",30,157,MdLavender,76
,,,,,,,324:MEDIUM LAVENDEL,,,,
1007,Reddish Lilac,#8E5597,0,0,,,218:RED. LILAC,,,,
373,Sand Purple,#845E84,55,5,2001,2002,136:Sand violet,373,54,SandPurple,86
22,Purple,#81007B,982,112,1996,2016,"104:Bright violet,",22,24,Purple,4
,,,,,,,104:BR. VIOLET,,,,
26,Magenta,#923978,3339,368,2002,2017,"124:Bright reddish violet,",26,71,Magenta,72
,,,,,,,124:BR.RED-VIOL.,,,,
63,Chrome Pink,#AA4D8E,32,21,2001,2007,,63,82,ChromePink,114
5,Dark Pink,#C870A0,4883,585,1994,2017,"221:Bright Purple,",5,47,DkPink,17
,,,,,,,221:BR. PURPLE,,,,
69,Light Purple,#CD6298,54,7,2004,2016,"198:Bright Reddish Lilac,",69,93,"LtPurple, BtPurple",69
,,,,,,,198:BR. RED. LILAC,,,,
179,Flat Silver,#898788,11195,2058,2000,2017,"315:Silver Metallic,",179,95,PearlSilver,117
